N,P,K,temperature,humidity,ph,rainfall,label
98,49,58,22.75,83.39,6.4,216.87,rice
82,40,40,32.99,78.03,6.56,153.09,rice
61,53,41,34.08,60.02,6.99,242.62,rice
81,58,41,20.35,75.74,6.1,157.0,rice
75,44,59,21.36,78.55,6.07,297.48,rice
62,34,48,30.2,73.51,5.52,291.33,rice
73,47,55,24.57,62.93,6.53,216.02,rice
66,41,58,32.5,65.2,6.09,177.34,rice
63,31,59,27.8,76.4,5.78,295.44,rice
85,41,31,25.93,87.8,6.59,198.98,rice
73,52,57,20.68,69.76,6.08,190.7,rice
83,55,54,24.21,76.28,5.71,270.33,rice
60,54,36,26.35,71.85,5.94,152.11,rice
76,37,32,31.85,78.18,6.89,247.66,rice
87,36,38,29.35,69.93,5.6,196.65,rice
83,34,32,28.87,68.24,6.34,207.44,rice
73,32,30,30.83,67.08,5.88,156.07,rice
74,44,55,20.38,63.24,5.55,245.46,rice
91,33,59,22.09,78.13,6.31,180.46,rice
72,36,56,30.42,86.41,6.44,194.35,rice
65,57,57,23.28,72.5,6.82,198.65,rice
87,54,36,33.6,68.16,6.47,150.08,rice
72,38,32,20.1,75.32,6.13,183.32,rice
83,44,56,24.85,75.56,6.55,204.54,rice
71,59,36,27.46,69.03,5.93,155.53,rice
61,31,57,20.77,68.36,6.86,185.93,rice
61,50,41,26.72,76.59,6.39,162.13,rice
76,35,53,27.05,89.5,6.1,272.46,rice
75,30,38,24.81,65.6,5.56,238.63,rice
95,48,55,27.68,66.79,6.47,176.15,rice
92,37,36,34.05,64.13,6.01,167.02,rice
82,59,39,23.87,79.8,6.73,233.28,rice
61,30,45,34.48,76.75,6.82,178.31,rice
94,48,45,32.7,85.69,6.11,283.17,rice
70,46,37,31.78,80.07,6.37,205.84,rice
84,32,54,20.08,64.82,6.32,253.78,rice
75,58,38,22.64,60.54,6.24,176.82,rice
67,36,32,29.86,77.05,5.64,205.16,rice
81,43,59,34.6,71.79,6.84,244.67,rice
93,50,59,29.68,80.07,6.8,184.53,rice
78,33,32,31.53,61.31,6.99,220.49,rice
65,32,57,20.23,87.85,6.14,295.0,rice
94,57,30,21.13,69.17,5.79,190.27,rice
62,47,54,25.92,85.33,6.9,160.56,rice
91,44,51,25.38,67.62,5.94,198.38,rice
99,30,38,30.54,70.78,5.94,271.4,rice
94,47,54,29.17,62.45,5.51,244.18,rice
79,30,37,30.53,83.87,6.84,200.7,rice
87,31,31,26.58,80.16,5.99,173.26,rice
81,55,55,20.46,61.12,6.73,204.03,rice
96,30,37,31.55,66.47,6.43,162.8,rice
91,49,59,28.11,79.12,6.59,296.38,rice
89,48,46,25.98,73.01,6.62,187.63,rice
